Date,Open,High,Low,Close,Volume
20230110 13:00:00 America/New_York,156.71,157.4,156.13,157.33,2546871
20230110 14:00:00 America/New_York,157.36,158.66,157.2,158.57,3650103
20230110 15:00:00 America/New_York,158.56,159.36,157.54,159.13,4901359
20230111 09:30:00 America/New_York,158.32,158.91,155.63,157.15,5242733
20230111 10:00:00 America/New_York,157.15,158.74,156.13,156.24,4765602
20230111 11:00:00 America/New_York,156.24,157.76,156.18,157.57,2961376
20230111 12:00:00 America/New_York,157.58,158.94,157.42,158.08,3082656
20230111 13:00:00 America/New_York,158.08,159.1,158.01,158.44,2912226
20230111 14:00:00 America/New_York,158.45,159.11,158.2,158.67,2596004
20230111 15:00:00 America/New_York,158.67,160.28,158.45,160.02,5218799
20230112 09:30:00 America/New_York,161.0,162.26,154.92,156.49,6657653
20230112 10:00:00 America/New_York,156.49,161.27,156.39,159.32,8887731
20230112 11:00:00 America/New_York,159.33,161.06,158.15,160.96,4534306
20230112 12:00:00 America/New_York,160.96,164.88,160.89,164.4,6233216
20230112 13:00:00 America/New_York,164.41,165.86,162.93,165.84,6041648
20230112 14:00:00 America/New_York,165.86,166.37,165.02,165.53,4771024
20230112 15:00:00 America/New_York,165.53,165.61,163.76,165.11,6154934
20230113 09:30:00 America/New_York,162.78,166.02,161.65,164.72,5855705
20230113 10:00:00 America/New_York,164.65,168.17,164.4,167.67,7169961
20230113 11:00:00 America/New_York,167.66,167.85,164.93,165.66,5224183
20230113 12:00:00 America/New_York,165.65,167.14,165.51,166.62,3545056
20230113 13:00:00 America/New_York,166.63,167.81,165.82,167.65,3565207
20230113 14:00:00 America/New_York,167.67,168.68,167.22,167.84,4174879
20230113 15:00:00 America/New_York,167.85,169.22,167.81,168.98,5665769
20230117 09:30:00 America/New_York,169.01,174.43,168.99,173.49,7720309
20230117 10:00:00 America/New_York,173.5,176.84,173.49,174.77,8964587
20230117 11:00:00 America/New_York,174.8,175.54,172.81,175.26,5609980
20230117 12:00:00 America/New_York,175.29,175.92,174.63,175.6,3381236
20230117 13:00:00 America/New_York,175.61,176.94,175.46,176.83,3816915
20230117 14:00:00 America/New_York,176.81,177.04,175.84,176.69,3512811
20230117 15:00:00 America/New_York,176.69,177.28,176.13,177.01,6086350
20230118 09:30:00 America/New_York,176.67,178.43,174.93,177.31,6834743
20230118 10:00:00 America/New_York,177.26,178.73,174.17,175.13,8227222
20230118 11:00:00 America/New_York,175.11,175.23,172.82,174.63,5379454
20230118 12:00:00 America/New_York,174.62,175.23,173.71,174.03,3557832
20230118 13:00:00 America/New_York,174.04,174.85,173.19,174.41,2918935
20230118 14:00:00 America/New_York,174.43,175.27,173.77,174.95,2956041
20230118 15:00:00 America/New_York,174.95,175.18,173.62,173.76,4285059
20230119 09:30:00 America/New_York,170.57,171.97,167.63,170.54,7555250
20230119 10:00:00 America/New_York,170.57,171.82,168.6,169.43,7036649
20230119 11:00:00 America/New_York,169.43,169.96,167.31,168.17,5220751
20230119 12:00:00 America/New_York,168.19,169.63,168.01,168.6,4282441
20230119 13:00:00 America/New_York,168.61,169.75,168.3,169.45,3449407
20230119 14:00:00 America/New_York,169.46,170.52,168.91,169.61,3382183
20230119 15:00:00 America/New_York,169.63,170.09,167.51,167.65,4356204
20230120 09:30:00 America/New_York,169.95,170.55,168.47,169.74,4736742
20230120 10:00:00 America/New_York,169.76,170.98,168.25,169.19,5701842
20230120 11:00:00 America/New_York,169.2,173.73,169.13,173.24,6384168
20230120 12:00:00 America/New_York,173.22,175.99,173.21,174.77,6420467
20230120 13:00:00 America/New_York,174.77,176.5,174.22,176.34,5287639
20230120 14:00:00 America/New_York,176.33,177.8,176.15,177.75,5277647
20230120 15:00:00 America/New_York,177.76,178.56,177.3,178.42,7794929
20230123 09:30:00 America/New_York,180.72,185.4,178.17,185.02,8789539
20230123 10:00:00 America/New_York,185.01,188.8,184.82,188.07,10432767
20230123 11:00:00 America/New_York,188.08,190.0,187.96,189.78,7836066
20230123 12:00:00 America/New_York,189.8,189.97,188.71,189.86,4398973
20230123 13:00:00 America/New_York,189.88,192.45,189.61,191.84,5554241
20230123 14:00:00 America/New_York,191.83,192.25,189.21,190.23,6226811
20230123 15:00:00 America/New_York,190.24,192.29,189.02,191.85,8377022
20230124 09:30:00 America/New_York,188.3,194.95,188.2,191.39,8723093
20230124 10:00:00 America/New_York,191.4,192.97,189.36,192.29,9592612
20230124 11:00:00 America/New_York,192.32,192.97,191.31,192.56,4319238
20230124 12:00:00 America/New_York,192.54,192.72,190.41,190.48,3679435
20230124 13:00:00 America/New_York,190.48,191.55,189.61,191.22,4251688
20230124 14:00:00 America/New_York,191.2,192.32,190.58,192.17,3137938
20230124 15:00:00 America/New_York,192.18,192.8,190.61,192.64,5686994
20230125 09:30:00 America/New_York,189.13,191.71,188.43,188.64,6062192
20230125 10:00:00 America/New_York,188.67,189.42,185.8,188.02,9469955
20230125 11:00:00 America/New_York,188.02,189.89,187.5,189.01,4930187
20230125 12:00:00 America/New_York,189.04,189.67,188.3,188.93,2840171
20230125 13:00:00 America/New_York,188.94,191.42,188.93,191.13,3997862
20230125 14:00:00 America/New_York,191.16,193.15,190.79,192.69,4616533
20230125 15:00:00 America/New_York,192.7,193.7,192.3,193.23,4924056
20230126 09:30:00 America/New_York,197.19,201.66,194.16,195.88,8822656
20230126 10:00:00 America/New_York,195.99,197.0,193.07,193.54,7294925
20230126 11:00:00 America/New_York,193.53,194.8,192.78,194.51,4091242
20230126 12:00:00 America/New_York,194.51,197.36,194.36,196.64,4762760
20230126 13:00:00 America/New_York,196.64,196.95,195.1,196.64,3176177
20230126 14:00:00 America/New_York,196.61,197.79,196.28,197.58,3646766
20230126 15:00:00 America/New_York,197.62,198.19,196.14,197.99,5924482
20230127 09:30:00 America/New_York,194.62,199.79,194.05,198.95,7000132
20230127 10:00:00 America/New_York,199.0,202.22,198.64,199.97,11290055
20230127 11:00:00 America/New_York,199.98,202.0,198.8,200.79,5895920
20230127 12:00:00 America/New_York,200.83,203.59,200.7,203.51,4007491
20230127 13:00:00 America/New_York,203.5,205.94,202.99,205.38,5148950
20230127 14:00:00 America/New_York,205.39,206.28,204.7,205.01,3925970
20230127 15:00:00 America/New_York,205.02,205.49,203.4,203.61,5410071
20230130 09:30:00 America/New_York,199.56,201.4,198.17,199.25,6219897
20230130 10:00:00 America/New_York,199.25,199.8,194.25,196.03,7895570
20230130 11:00:00 America/New_York,196.0,197.12,195.16,196.39,4842429
20230130 12:00:00 America/New_York,196.37,196.77,193.98,194.46,4479474
20230130 13:00:00 America/New_York,194.46,195.71,193.52,194.17,4080439
20230130 14:00:00 America/New_York,194.17,194.59,193.58,194.08,2958707
20230130 15:00:00 America/New_York,194.07,194.44,191.5,191.61,6664664
20230131 09:30:00 America/New_York,191.7,194.47,190.3,190.51,6500656
20230131 10:00:00 America/New_York,190.62,196.3,189.5,196.16,9801999
20230131 11:00:00 America/New_York,196.18,196.87,193.36,194.03,6207013
20230131 12:00:00 America/New_York,194.06,195.17,193.52,195.13,3485488
20230131 13:00:00 America/New_York,195.13,195.89,194.06,194.94,3113743
20230131 14:00:00 America/New_York,194.96,195.34,194.42,194.87,2516048
20230131 15:00:00 America/New_York,194.85,195.44,193.66,195.42,5829752
20230201 09:30:00 America/New_York,197.0,200.69,196.11,200.21,6777833
20230201 10:00:00 America/New_York,200.29,202.24,199.06,199.39,8679726
20230201 11:00:00 America/New_York,199.36,201.71,198.6,200.66,5602697
20230201 12:00:00 America/New_York,200.67,201.38,199.74,201.21,3387048
20230201 13:00:00 America/New_York,201.22,202.92,200.84,201.3,4296932
20230201 14:00:00 America/New_York,201.18,208.6,199.5,207.35,11066556
20230201 15:00:00 America/New_York,207.38,211.92,207.26,209.49,11175936
20230202 09:30:00 America/New_York,209.99,215.3,209.6,212.53,8180094
20230202 10:00:00 America/New_York,212.61,215.24,211.16,213.51,7322266
20230202 11:00:00 America/New_York,213.54,214.49,212.03,212.47,4141752
20230202 12:00:00 America/New_York,212.54,217.45,211.96,216.84,6723938
20230202 13:00:00 America/New_York,216.85,219.4,216.22,219.39,4297437
20230202 14:00:00 America/New_York,219.4,219.49,213.08,213.22,5418916
20230202 15:00:00 America/New_York,213.23,217.46,212.35,217.24,6000553
20230203 09:30:00 America/New_York,209.77,216.01,207.89,215.37,6806444
20230203 10:00:00 America/New_York,215.12,217.45,213.15,214.93,7227416
20230203 11:00:00 America/New_York,214.95,216.92,214.41,214.62,3346550
20230203 12:00:00 America/New_York,214.59,216.41,213.62,213.79,2658994
20230203 13:00:00 America/New_York,213.86,214.04,210.8,212.36,3991043
20230203 14:00:00 America/New_York,212.33,212.52,210.68,211.19,3228520
20230203 15:00:00 America/New_York,211.18,211.6,209.92,211.02,4275018
20230206 09:30:00 America/New_York,208.06,214.14,207.86,212.63,6527534
20230206 10:00:00 America/New_York,212.71,214.34,209.65,212.43,7437769
20230206 11:00:00 America/New_York,212.43,215.7,211.7,213.41,5890151
20230206 12:00:00 America/New_York,213.39,214.19,211.81,212.15,3652643
20230206 13:00:00 America/New_York,212.15,212.2,210.5,211.54,3533077
20230206 14:00:00 America/New_York,211.57,213.2,210.22,212.48,4291985
20230206 15:00:00 America/New_York,212.46,212.52,209.97,210.84,4259347
20230207 09:30:00 America/New_York,213.81,214.38,211.5,213.16,5353586
20230207 10:00:00 America/New_York,213.22,214.2,211.92,213.81,6025314
20230207 11:00:00 America/New_York,213.83,217.07,213.82,216.63,7488488
20230207 12:00:00 America/New_York,216.62,221.72,214.87,220.68,8131137
20230207 13:00:00 America/New_York,220.68,221.23,212.77,214.37,8266644
20230207 14:00:00 America/New_York,214.38,219.85,214.23,219.19,7438628
